Tank,Culture,Temperature,Treatment,Time,Mortality,Survivorship
12,31mix,27C,31mix_27C,28,10.63829787,89.36170213
20,31mix,27C,31mix_27C,28,9.375,90.625
35,31mix,27C,31mix_27C,28,10.30927835,89.69072165
3,Wtmix,27C,Wtmix_27C,28,4.761904762,95.23809524
16,Wtmix,27C,Wtmix_27C,28,3.174603175,96.82539683
22,Wtmix,27C,Wtmix_27C,28,5.084745763,94.91525424
19,31mix,31C,31mix_31C,28,3.370786517,96.62921348
31,31mix,31C,31mix_31C,28,5.434782609,94.56521739
34,31mix,31C,31mix_31C,28,10.86956522,89.13043478
9,Wtmix,31C,Wtmix_31C,28,3.278688525,96.72131148
18,Wtmix,31C,Wtmix_31C,28,3.125,96.875
29,Wtmix,31C,Wtmix_31C,28,4.761904762,95.23809524
10,Wtmix,32.5C,Wtmix_32.5C,28,9.090909091,90.90909091
24,Wtmix,32.5C,Wtmix_32.5C,28,2.857142857,97.14285714
28,Wtmix,32.5C,Wtmix_32.5C,28,4.347826087,95.65217391
27,31mix,32.5C,31mix_32.5C,28,7.792207792,92.20779221
33,31mix,32.5C,31mix_32.5C,28,5.882352941,94.11764706
30,31mix,32.5C,31mix_32.5C,28,1.052631579,98.94736842
12,31mix,27C,31mix_27C,72,10.81081081,89.18918919
20,31mix,27C,31mix_27C,72,26.31578947,73.68421053
35,31mix,27C,31mix_27C,72,20.77922078,79.22077922
3,Wtmix,27C,Wtmix_27C,72,29.54545455,70.45454545
16,Wtmix,27C,Wtmix_27C,72,2.127659574,97.87234043
22,Wtmix,27C,Wtmix_27C,72,4.761904762,95.23809524
19,31mix,31C,31mix_31C,72,16.90140845,83.09859155
31,31mix,31C,31mix_31C,72,31.81818182,68.18181818
34,31mix,31C,31mix_31C,72,44.7761194,55.2238806
9,Wtmix,31C,Wtmix_31C,72,28.26086957,71.73913043
18,Wtmix,31C,Wtmix_31C,72,2.380952381,97.61904762
29,Wtmix,31C,Wtmix_31C,72,22.72727273,77.27272727
