TankNumb,Culture,Temperature,SingleOrClump,RecruitID,Day,PropGrowth
12,SS,27C,s,1,28,2.675313845
12,SS,27C,s,2,28,10.28228149
12,SS,27C,c,3,28,-3.76508579
12,SS,27C,s,4,28,10.4064427
12,SS,27C,s,5,28,-5.101563038
12,SS,27C,c,6,28,0.042486672
12,SS,27C,s,7,28,16.30061596
12,SS,27C,s,8,28,-23.84091518
12,SS,27C,s,9,28,-0.524672956
12,SS,27C,c,10,28,-4.971453378
12,SS,27C,s,14,28,-7.387813445
12,SS,27C,s,15,28,
12,SS,27C,s,16,28,10.73448022
12,SS,27C,s,17,28,-2.951417815
12,SS,27C,s,18,28,12.17521287
12,SS,27C,s,19,28,-5.213887827
12,SS,27C,s,26,28,
12,SS,27C,s,25,28,-11.67237438
12,SS,27C,s,24,28,-3.830708891
12,SS,27C,s,30,28,6.323156709
12,SS,27C,s,31,28,-12.22304433
12,SS,27C,s,32,28,22.14880881
12,SS,27C,s,33,28,-11.35564847
12,SS,27C,s,34,28,-6.56400224
12,SS,27C,s,35,28,-18.26961774
12,SS,27C,s,36,28,-8.090731014
12,SS,27C,s,37,28,-22.66166658
12,SS,27C,s,38,28,-5.115165046
12,SS,27C,s,39,28,-11.28306449
12,SS,27C,s,40,28,-18.77260595
12,SS,27C,s,41,28,
12,SS,27C,s,42,28,-2.512185817
12,SS,27C,s,43,28,-17.55802852
12,SS,27C,s,44,28,-4.774705012
12,SS,27C,s,45,28,-13.17086511
12,SS,27C,s,46,28,-7.25435011
12,SS,27C,c,47,28,-6.181803048
12,SS,27C,s,48,28,6.586255819
12,SS,27C,s,49,28,-0.677645425
12,SS,27C,c,50,28,
12,SS,27C,s,51,28,3.354485325
12,SS,27C,s,52,28,-38.69959602
12,SS,27C,c,53,28,-5.455588508
12,SS,27C,s,54,28,-5.727426271
12,SS,27C,c,55,28,-31.18033105
12,SS,27C,c,56,28,-5.87740518
12,SS,27C,c,70,28,-6.009514734
12,SS,27C,s,71,28,
12,SS,27C,c,72,28,-13.48794736
12,SS,27C,s,73,28,-20.00191028
12,SS,27C,s,74,28,-9.894169052
12,SS,27C,c,75,28,1.628789827
12,SS,27C,s,76,28,-12.50513105
12,SS,27C,s,77,28,13.69034191
12,SS,27C,s,78,28,11.22848849
12,SS,27C,s,79,28,
12,SS,27C,s,81,28,
12,SS,27C,s,80,28,16.59619617
12,SS,27C,s,11,28,
12,SS,27C,s,12,28,-32.5330584
12,SS,27C,s,13,28,-2.336754256
12,SS,27C,s,20,28,-4.286838926
12,SS,27C,s,21,28,-18.55653918
12,SS,27C,s,22,28,-0.895222296
12,SS,27C,s,23,28,
12,SS,27C,s,27,28,
12,SS,27C,s,28,28,13.95002402
12,SS,27C,s,29,28,
12,SS,27C,c,58,28,-8.721442467
12,SS,27C,s,59,28,-22.89487147
12,SS,27C,s,60,28,-14.66498717
12,SS,27C,s,61,28,-2.016005626
12,SS,27C,s,62,28,-11.90063117
12,SS,27C,s,63,28,-9.147481177
12,SS,27C,s,64,28,11.34978736
12,SS,27C,s,65,28,-2.784864612
12,SS,27C,s,66,28,
12,SS,27C,s,67,28,-2.875331774
12,SS,27C,s,68,28,-7.538582066
12,SS,27C,s,69,28,8.460128845
12,SS,27C,s,82,28,
12,SS,27C,s,83,28,
12,SS,27C,s,84,28,
12,SS,27C,s,85,28,
12,SS,27C,s,86,28,-18.8528494
12,SS,27C,s,86b,28,
12,SS,27C,s,87,28,3.33463335
12,SS,27C,c,88,28,-0.527416121
12,SS,27C,c,90,28,0.583323399
12,SS,27C,s,91,28,9.257793877
12,SS,27C,s,92,28,6.268826849
12,SS,27C,s,89,28,-19.55241489
12,SS,27C,s,93,28,-5.237008892
12,SS,27C,s,94,28,-8.382761159
12,SS,27C,c,96,28,-16.87355318
12,SS,27C,c,95,28,-0.630681124
12,SS,27C,c,98,28,0.019109832
12,SS,27C,s,99,28,0.902591886
12,SS,27C,s,100,28,-0.788189401
12,SS,27C,s,104,28,-18.90733911
12,SS,27C,s,105,28,-12.03788302
12,SS,27C,s,106,28,7.96212373
12,SS,27C,s,107a,28,
12,SS,27C,s,107b,28,
12,SS,27C,s,108,28,3.031211122
12,SS,27C,s,109,28,-3.222387938
12,SS,27C,c,110,28,-13.70255303
12,SS,27C,s,114,28,-2.959932332
12,SS,27C,s,115,28,
12,SS,27C,s,116,28,-8.699217709
12,SS,27C,s,117,28,1.564305548
12,SS,27C,s,118,28,-6.940497284
12,SS,27C,s,119,28,2.929853619
12,SS,27C,c,120,28,2.417570113
12,SS,27C,s,121,28,4.283674577
12,SS,27C,s,122,28,15.96238571
12,SS,27C,s,123,28,
12,SS,27C,s,101,28,-6.784427718
12,SS,27C,c,102,28,-7.882658098
12,SS,27C,s,103,28,6.644717828
12,SS,27C,s,111a,28,-10.17390639
12,SS,27C,s,111b,28,-3.337284541
12,SS,27C,c,111c,28,1.712444513
12,SS,27C,s,113,28,28.12918794
12,SS,27C,s,112,28,-9.998095324
20,SS,27C,s,1,28,-0.062570469
20,SS,27C,s,2,28,15.09358613
