TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps,PropGrowthArea,PropGrowthPolyps,Log10PropGrowthPolypsTranslate
3,WT,27C,s,28,3_28,0,2.347799,4,,,
3,WT,27C,s,64,3_64,0,1.318148,2,,,
3,WT,27C,s,66,3_66,0,2.471325,3,,,
3,WT,27C,s,22,3_22,0,1.993967,3,,,
3,WT,27C,s,74,3_74,0,1.007969,1,,,
3,WT,27C,s,83a,3_83a,0,0.572308,1,,,
3,WT,27C,s,26,3_26,0,1.929857,3,,,
3,WT,27C,c,27,3_27,0,2.37202,6,,,
3,WT,27C,c,29,3_29,0,3.46034,5,,,
3,WT,27C,s,30,3_30,0,1.964035,3,,,
3,WT,27C,s,31,3_31,0,1.294196,2,,,
3,WT,27C,s,41,3_41,0,1.156676,2,,,
3,WT,27C,c,39,3_39,0,5.74651,9,,,
3,WT,27C,s,40,3_40,0,1.89514,4,,,
3,WT,27C,s,42,3_42,0,2.168835,4,,,
3,WT,27C,s,43,3_43,0,1.06975,1,,,
3,WT,27C,s,44,3_44,0,3.889047,4,,,
3,WT,27C,s,45,3_45,0,2.335958,4,,,
3,WT,27C,s,46,3_46,0,7.190068,4,,,
3,WT,27C,s,47,3_47,0,2.175294,3,,,
3,WT,27C,s,55,3_55,0,1.156676,2,,,
3,WT,27C,s,53,3_53,0,1.704603,3,,,
3,WT,27C,s,54,3_54,0,2.130081,5,,,
3,WT,27C,s,56,3_56,0,1.12788,2,,,
3,WT,27C,s,57,3_57,0,0.954029,2,,,
3,WT,27C,s,58,3_58,0,1.269168,3,,,
3,WT,27C,s,58a,3_58a,0,0.606865,2,,,
3,WT,27C,s,59,3_59,0,1.896486,4,,,
3,WT,27C,s,60,3_60,0,2.113127,4,,,
3,WT,27C,s,61,3_61,0,2.189557,3,,,
3,WT,27C,s,62,3_62,0,2.056343,3,,,
3,WT,27C,c,63,3_63,0,4.367003,7,,,
3,WT,27C,missedt28,65,3_65,0,1.306306,3,,,
3,WT,27C,s,1,3_1,0,1.820863,4,,,
3,WT,27C,s,2,3_2,0,1.531829,3,,,
3,WT,27C,c,3,3_3,0,2.829792,4,,,
3,WT,27C,c,4,3_4,0,3.765252,7,,,
3,WT,27C,s,5,3_5,0,1.318955,4,,,
3,WT,27C,s,86,3_86,0,1.068405,1,,,
3,WT,27C,s,6,3_6,0,1.707295,5,,,
3,WT,27C,s,7,3_7,0,2.345646,3,,,
3,WT,27C,s,8,3_8,0,2.025663,4,,,
3,WT,27C,c,9,3_9,0,6.725298,8,,,
3,WT,27C,s,10,3_10,0,1.446787,3,,,
3,WT,27C,s,11,3_11,0,1.398076,3,,,
3,WT,27C,s,12,3_12,0,1.165019,3,,,
3,WT,27C,s,13,3_13,0,2.443337,4,,,
3,WT,27C,c,24,3_24,0,3.543767,6,,,
3,WT,27C,s,25,3_25,0,1.619023,4,,,
3,WT,27C,s,18,3_18,0,1.5642,3,,,
3,WT,27C,s,17,3_17,0,2.421858,5,,,
3,WT,27C,c,16,3_16,0,3.941045,5,,,
3,WT,27C,c,14,3_14,0,4.38662,6,,,
3,WT,27C,s,15,3_15,0,3.363111,5,,,
3,WT,27C,c,19,3_19,0,7.270396,7,,,
3,WT,27C,s,20,3_20,0,3.320777,5,,,
3,WT,27C,s,21,3_21,0,4.121901,4,,,
3,WT,27C,s,23,3_23,0,1.194451,3,,,
3,WT,27C,s,32,3_32,0,2.001469,3,,,
