Obs,Tank,Culture,Temperature,Treatment,SingleOrClump,Time,CellNumbers,CellsPerPolyp,CellsPerMM2,PropCellsPerMM2,log10PropCellsPerMM2Translate
1,9,Wt,31,Wt_31C,s,0,,,,0,0
3,16,Wt,27,Wt_27C,s,0,,,,0,0
4,22,Wt,27,Wt_27C,s,0,,,,0,0
5,12,31mix,27,31mix_27C,s,0,,,,0,0
6,19,31mix,31,31mix_31C,s,0,,,,0,0
7,20,31mix,27,31mix_27C,s,0,,,,0,0
8,27,31mix,32.5,31mix_32.5C,s,0,,,,0,0
9,10,Wt,32.5,Wt_32.5C,s,0,,,,0,0
11,18,Wt,31,Wt_31C,s,0,71067,14213,11349,0,0
12,29,Wt,31,Wt_31C,s,0,16089,8044,17014,0,0
14,28,Wt,32.5,Wt_32.5C,s,0,23000,23000,36513,0,0
15,30,31mix,32.5,31mix_32.5C,s,0,33800,8450,21620,0,0
16,31,31mix,31,31mix_31C,s,0,23714,11857,21051,0,0
17,33,31mix,32.5,31mix_32.5C,s,0,24867,4973,11893,0,0
18,34,31mix,31,31mix_31C,s,0,38267,12756,25931,0,0
19,9,Wt,31,Wt_31C,s,0,56800,18933,37842,0,0
21,16,Wt,27,Wt_27C,s,0,79600,39800,85297,0,0
22,22,Wt,27,Wt_27C,s,0,36800,18400,33159,0,0
23,12,31mix,27,31mix_27C,s,0,25733,12867,20275,0,0
24,19,31mix,31,31mix_31C,s,0,67333,22444,52476,0,0
25,20,31mix,27,31mix_27C,s,0,61600,20533,31874,0,0
27,10,Wt,32.5,Wt_32.5C,s,0,79600,19900,43333,0,0
29,18,Wt,31,Wt_31C,s,0,10222,5111,9427,0,0
30,29,Wt,31,Wt_31C,s,0,71600,17900,28229,0,0
31,24,Wt,32.5,Wt_32.5C,s,0,137067,34267,63810,0,0
32,28,Wt,32.5,Wt_32.5C,s,0,116000,19333,34622,0,0
33,30,31mix,32.5,31mix_32.5C,s,0,9778,2444,6525,0,0
34,31,31mix,31,31mix_31C,s,0,35533,8883,21535,0,0
35,33,31mix,32.5,31mix_32.5C,s,0,13600,4533,13634,0,0
36,34,31mix,31,31mix_31C,s,0,13600,6800,8748,0,0
37,9,Wt,31,Wt_31C,s,0,30756,7689,22645,0,0
39,16,Wt,27,Wt_27C,s,0,48533,12133,29685,0,0
40,22,Wt,27,Wt_27C,s,0,49440,24720,36775,0,0
41,12,31mix,27,31mix_27C,s,0,13467,6733,15008,0,0
42,19,31mix,31,31mix_31C,s,0,15022,2146,3726,0,0
43,20,31mix,27,31mix_27C,s,0,9600,3200,6885,0,0
44,27,31mix,32.5,31mix_32.5C,s,0,11022,11022,8329,0,0
