TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps
12,31mix,27C,s,1,12_1,0,1.074416,3
12,31mix,27C,s,2,12_2,0,0.654028,2
12,31mix,27C,c,3,12_3,0,2.540553,4
12,31mix,27C,s,4,12_4,0,0.813448,3
12,31mix,27C,s,5,12_5,0,2.513759,5
12,31mix,27C,c,6,12_6,0,4.293111,8
12,31mix,27C,s,7,12_7,0,1.200881,2
12,31mix,27C,s,8,12_8,0,1.04548,1
12,31mix,27C,s,9,12_9,0,1.298142,4
12,31mix,27C,c,10,12_10,0,3.740898,6
12,31mix,27C,s,14,12_14,0,1.165514,4
12,31mix,27C,s,15,12_15,0,1.241875,4
12,31mix,27C,s,16,12_16,0,1.533656,4
12,31mix,27C,s,17,12_17,0,1.782567,5
12,31mix,27C,s,18,12_18,0,1.372091,3
12,31mix,27C,s,19,12_19,0,1.108712,2
12,31mix,27C,s,26,12_26,0,0.865428,2
12,31mix,27C,s,25,12_25,0,1.131218,3
12,31mix,27C,s,24,12_24,0,1.132558,3
12,31mix,27C,s,30,12_30,0,1.406655,5
12,31mix,27C,s,31,12_31,0,1.678608,4
12,31mix,27C,s,32,12_32,0,1.237588,4
12,31mix,27C,s,33,12_33,0,1.020294,1
12,31mix,27C,s,34,12_34,0,1.219637,3
12,31mix,27C,s,35,12_35,0,1.197666,2
12,31mix,27C,s,36,12_36,0,1.493734,3
12,31mix,27C,s,37,12_37,0,1.741037,4
12,31mix,27C,s,38,12_38,0,1.168193,2
12,31mix,27C,s,39,12_39,0,1.135773,3
12,31mix,27C,s,40,12_40,0,1.578401,5
12,31mix,27C,s,41,12_41,0,0.730389,3
12,31mix,27C,s,42,12_42,0,1.643509,6
12,31mix,27C,s,43,12_43,0,1.212938,3
12,31mix,27C,s,44,12_44,0,0.967243,2
12,31mix,27C,s,45,12_45,0,1.813647,2
12,31mix,27C,s,46,12_46,0,1.311806,3
12,31mix,27C,c,47,12_47,0,2.474909,7
12,31mix,27C,s,48,12_48,0,1.103085,4
12,31mix,27C,s,49,12_49,0,1.41121,2
12,31mix,27C,c,50,12_50,0,1.275903,3
12,31mix,27C,s,51,12_51,0,1.4514,5
12,31mix,27C,s,52,12_52,0,2.230553,5
12,31mix,27C,c,53,12_53,0,4.190492,9
12,31mix,27C,s,54,12_54,0,1.648332,3
12,31mix,27C,c,55,12_55,0,2.050501,4
12,31mix,27C,c,56,12_56,0,4.793612,8
12,31mix,27C,c,70,12_70,0,1.662264,2
12,31mix,27C,s,71,12_71,0,0.897312,2
12,31mix,27C,c,72,12_72,0,2.111322,3
12,31mix,27C,s,73,12_73,0,1.109784,3
12,31mix,27C,s,74,12_74,0,0.936966,2
12,31mix,27C,c,75,12_75,0,2.546983,5
12,31mix,27C,s,76,12_76,0,0.923301,2
12,31mix,27C,s,77,12_77,0,2.411408,5
12,31mix,27C,s,78,12_78,0,1.362178,3
12,31mix,27C,s,79,12_79,0,0.41503,1
12,31mix,27C,s,81,12_81,0,1.481677,3
12,31mix,27C,s,80,12_80,0,1.201685,3
12,31mix,27C,s,11,12_11,0,1.149974,2
12,31mix,27C,s,12,12_12,0,1.187217,2
12,31mix,27C,s,13,12_13,0,1.325471,2
12,31mix,27C,s,20,12_20,0,2.510008,6
12,31mix,27C,s,21,12_21,0,1.203829,3
12,31mix,27C,s,22,12_22,0,1.308055,3
12,31mix,27C,s,23,12_23,0,1.269205,2
12,31mix,27C,s,27,12_27,0,0.666085,1
12,31mix,27C,s,28,12_28,0,1.361374,4
12,31mix,27C,s,29,12_29,0,1.02726,3
12,31mix,27C,c,58,12_58,0,2.258686,4
12,31mix,27C,s,59,12_59,0,1.548124,3
12,31mix,27C,s,60,12_60,0,1.072541,3
12,31mix,27C,s,61,12_61,0,0.921426,2
12,31mix,27C,s,62,12_62,0,1.22312,4
12,31mix,27C,s,63,12_63,0,0.666085,1
12,31mix,27C,s,64,12_64,0,1.815523,3
12,31mix,27C,s,65,12_65,0,0.924641,3
12,31mix,27C,s,66,12_66,0,0.450933,2
12,31mix,27C,s,67,12_67,0,1.574114,3
12,31mix,27C,s,68,12_68,0,0.865428,2
12,31mix,27C,s,69,12_69,0,1.263846,3
12,31mix,27C,s,82,12_82,0,0.621072,3
12,31mix,27C,s,83,12_83,0,1.262506,2
12,31mix,27C,s,84,12_84,0,1.279922,3
12,31mix,27C,s,85,12_85,0,0.751824,1
12,31mix,27C,s,86,12_86,0,1.142204,2
12,31mix,27C,s,86b,12_86b,0,1.556162,4
12,31mix,27C,s,87,12_87,0,1.10255,2
12,31mix,27C,c,88,12_88,0,6.104857,13
12,31mix,27C,c,90,12_90,0,3.204226,6
12,31mix,27C,s,91,12_91,0,1.417908,4
12,31mix,27C,s,92,12_92,0,1.593137,4
12,31mix,27C,s,89,12_89,0,0.83917,3
12,31mix,27C,s,93,12_93,0,0.995912,1
12,31mix,27C,s,94,12_94,0,1.683431,3
12,31mix,27C,c,96,12_96,0,2.120164,5
12,31mix,27C,c,95,12_95,0,5.522125,11
12,31mix,27C,c,98,12_98,0,4.793344,8
12,31mix,27C,s,99,12_99,0,1.932878,3
12,31mix,27C,s,100,12_100,0,1.037441,3
12,31mix,27C,s,104,12_104,0,0.568557,2
12,31mix,27C,s,105,12_105,0,1.520259,4
12,31mix,27C,s,106,12_106,0,1.260631,4
12,31mix,27C,s,107a,12_107a,0,0.973941,3
12,31mix,27C,s,107b,12_107b,0,1.85089,4
12,31mix,27C,s,108,12_108,0,1.211331,2
12,31mix,27C,s,109,12_109,0,1.640026,5
12,31mix,27C,c,110,12_110,0,1.674053,4
12,31mix,27C,s,114,12_114,0,1.464797,4
12,31mix,27C,s,115,12_115,0,0.500233,1
12,31mix,27C,s,116,12_116,0,1.132826,3
12,31mix,27C,s,117,12_117,0,0.869715,2
12,31mix,27C,s,118,12_118,0,1.368072,3
12,31mix,27C,s,119,12_119,0,0.536136,1
12,31mix,27C,c,120,12_120,0,3.179308,6
12,31mix,27C,s,121,12_121,0,1.40076,3
12,31mix,27C,s,122,12_122,0,1.021633,3
12,31mix,27C,s,123,12_123,0,1.21267,3
12,31mix,27C,s,101,12_101,0,2.032817,6
12,31mix,27C,c,102,12_102,0,2.927718,6
12,31mix,27C,s,103,12_103,0,1.325203,4
12,31mix,27C,s,111a,12_111a,0,0.614641,1
12,31mix,27C,s,111b,12_111b,0,0.91955,1
12,31mix,27C,c,111c,12_111c,0,1.724961,4
12,31mix,27C,s,113,12_113,0,0.696195,1
12,31mix,27C,s,112,12_112,0,1.10255,4
20,31mix,27C,s,1,20_1,0,1.137917,2
20,31mix,27C,s,2,20_2,0,1.412282,3
20,31mix,27C,c,3,20_3,0,1.816862,5
20,31mix,27C,s,4,20_4,0,2.111858,3
20,31mix,27C,s,5,20_5,0,1.609213,3
20,31mix,27C,s,6,20_6,0,2.251452,4
20,31mix,27C,s,7,20_7,0,1.675125,3
20,31mix,27C,c,8,20_8,0,2.301555,6
20,31mix,27C,s,9,20_9,0,1.017078,1
20,31mix,27C,s,11,20_11,0,1.936361,4
20,31mix,27C,s,12,20_12,0,1.861607,4
20,31mix,27C,s,13,20_13,0,0.704935,3
20,31mix,27C,s,14,20_14,0,2.281996,6
20,31mix,27C,s,14a,20_14a,0,0.728781,1
20,31mix,27C,s,14b,20_14b,0,1.562861,3
20,31mix,27C,s,15,20_15,0,1.788193,4
