obs,TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps
1,12,31mix,27C,s,1,12_1,0,1.074416,3
2,12,31mix,27C,s,2,12_2,0,0.654028,2
4,12,31mix,27C,s,4,12_4,0,0.813448,3
5,12,31mix,27C,s,5,12_5,0,2.513759,5
7,12,31mix,27C,s,7,12_7,0,1.200881,2
8,12,31mix,27C,s,8,12_8,0,1.04548,1
9,12,31mix,27C,s,9,12_9,0,1.298142,4
11,12,31mix,27C,s,14,12_14,0,1.165514,4
12,12,31mix,27C,s,15,12_15,0,1.241875,4
13,12,31mix,27C,s,16,12_16,0,1.533656,4
14,12,31mix,27C,s,17,12_17,0,1.782567,5
15,12,31mix,27C,s,18,12_18,0,1.372091,3
16,12,31mix,27C,s,19,12_19,0,1.108712,2
17,12,31mix,27C,s,26,12_26,0,0.865428,2
18,12,31mix,27C,s,25,12_25,0,1.131218,3
19,12,31mix,27C,s,24,12_24,0,1.132558,3
20,12,31mix,27C,s,30,12_30,0,1.406655,5
21,12,31mix,27C,s,31,12_31,0,1.678608,4
22,12,31mix,27C,s,32,12_32,0,1.237588,4
23,12,31mix,27C,s,33,12_33,0,1.020294,1
24,12,31mix,27C,s,34,12_34,0,1.219637,3
25,12,31mix,27C,s,35,12_35,0,1.197666,2
26,12,31mix,27C,s,36,12_36,0,1.493734,3
27,12,31mix,27C,s,37,12_37,0,1.741037,4
28,12,31mix,27C,s,38,12_38,0,1.168193,2
29,12,31mix,27C,s,39,12_39,0,1.135773,3
30,12,31mix,27C,s,40,12_40,0,1.578401,5
31,12,31mix,27C,s,41,12_41,0,0.730389,3
32,12,31mix,27C,s,42,12_42,0,1.643509,6
33,12,31mix,27C,s,43,12_43,0,1.212938,3
34,12,31mix,27C,s,44,12_44,0,0.967243,2
35,12,31mix,27C,s,45,12_45,0,1.813647,2
36,12,31mix,27C,s,46,12_46,0,1.311806,3
38,12,31mix,27C,s,48,12_48,0,1.103085,4
39,12,31mix,27C,s,49,12_49,0,1.41121,2
41,12,31mix,27C,s,51,12_51,0,1.4514,5
42,12,31mix,27C,s,52,12_52,0,2.230553,5
44,12,31mix,27C,s,54,12_54,0,1.648332,3
48,12,31mix,27C,s,71,12_71,0,0.897312,2
50,12,31mix,27C,s,73,12_73,0,1.109784,3
51,12,31mix,27C,s,74,12_74,0,0.936966,2
53,12,31mix,27C,s,76,12_76,0,0.923301,2
54,12,31mix,27C,s,77,12_77,0,2.411408,5
55,12,31mix,27C,s,78,12_78,0,1.362178,3
56,12,31mix,27C,s,79,12_79,0,0.41503,1
57,12,31mix,27C,s,81,12_81,0,1.481677,3
58,12,31mix,27C,s,80,12_80,0,1.201685,3
59,12,31mix,27C,s,11,12_11,0,1.149974,2
60,12,31mix,27C,s,12,12_12,0,1.187217,2
61,12,31mix,27C,s,13,12_13,0,1.325471,2
62,12,31mix,27C,s,20,12_20,0,2.510008,6
63,12,31mix,27C,s,21,12_21,0,1.203829,3
64,12,31mix,27C,s,22,12_22,0,1.308055,3
65,12,31mix,27C,s,23,12_23,0,1.269205,2
66,12,31mix,27C,s,27,12_27,0,0.666085,1
67,12,31mix,27C,s,28,12_28,0,1.361374,4
68,12,31mix,27C,s,29,12_29,0,1.02726,3
70,12,31mix,27C,s,59,12_59,0,1.548124,3
71,12,31mix,27C,s,60,12_60,0,1.072541,3
72,12,31mix,27C,s,61,12_61,0,0.921426,2
73,12,31mix,27C,s,62,12_62,0,1.22312,4
74,12,31mix,27C,s,63,12_63,0,0.666085,1
75,12,31mix,27C,s,64,12_64,0,1.815523,3
76,12,31mix,27C,s,65,12_65,0,0.924641,3
77,12,31mix,27C,s,66,12_66,0,0.450933,2
78,12,31mix,27C,s,67,12_67,0,1.574114,3
79,12,31mix,27C,s,68,12_68,0,0.865428,2
80,12,31mix,27C,s,69,12_69,0,1.263846,3
81,12,31mix,27C,s,82,12_82,0,0.621072,3
82,12,31mix,27C,s,83,12_83,0,1.262506,2
83,12,31mix,27C,s,84,12_84,0,1.279922,3
84,12,31mix,27C,s,85,12_85,0,0.751824,1
85,12,31mix,27C,s,86,12_86,0,1.142204,2
86,12,31mix,27C,s,86b,12_86b,0,1.556162,4
87,12,31mix,27C,s,87,12_87,0,1.10255,2
90,12,31mix,27C,s,91,12_91,0,1.417908,4
91,12,31mix,27C,s,92,12_92,0,1.593137,4
92,12,31mix,27C,s,89,12_89,0,0.83917,3
93,12,31mix,27C,s,93,12_93,0,0.995912,1
94,12,31mix,27C,s,94,12_94,0,1.683431,3
98,12,31mix,27C,s,99,12_99,0,1.932878,3
99,12,31mix,27C,s,100,12_100,0,1.037441,3
100,12,31mix,27C,s,104,12_104,0,0.568557,2
101,12,31mix,27C,s,105,12_105,0,1.520259,4
102,12,31mix,27C,s,106,12_106,0,1.260631,4
103,12,31mix,27C,s,107a,12_107a,0,0.973941,3
104,12,31mix,27C,s,107b,12_107b,0,1.85089,4
105,12,31mix,27C,s,108,12_108,0,1.211331,2
106,12,31mix,27C,s,109,12_109,0,1.640026,5
108,12,31mix,27C,s,114,12_114,0,1.464797,4
109,12,31mix,27C,s,115,12_115,0,0.500233,1
110,12,31mix,27C,s,116,12_116,0,1.132826,3
111,12,31mix,27C,s,117,12_117,0,0.869715,2
112,12,31mix,27C,s,118,12_118,0,1.368072,3
113,12,31mix,27C,s,119,12_119,0,0.536136,1
115,12,31mix,27C,s,121,12_121,0,1.40076,3
116,12,31mix,27C,s,122,12_122,0,1.021633,3
117,12,31mix,27C,s,123,12_123,0,1.21267,3
118,12,31mix,27C,s,101,12_101,0,2.032817,6
120,12,31mix,27C,s,103,12_103,0,1.325203,4
121,12,31mix,27C,s,111a,12_111a,0,0.614641,1
122,12,31mix,27C,s,111b,12_111b,0,0.91955,1
124,12,31mix,27C,s,113,12_113,0,0.696195,1
125,12,31mix,27C,s,112,12_112,0,1.10255,4
126,20,31mix,27C,s,1,20_1,0,1.137917,2
127,20,31mix,27C,s,2,20_2,0,1.412282,3
129,20,31mix,27C,s,4,20_4,0,2.111858,3
130,20,31mix,27C,s,5,20_5,0,1.609213,3
131,20,31mix,27C,s,6,20_6,0,2.251452,4
132,20,31mix,27C,s,7,20_7,0,1.675125,3
134,20,31mix,27C,s,9,20_9,0,1.017078,1
135,20,31mix,27C,s,11,20_11,0,1.936361,4
136,20,31mix,27C,s,12,20_12,0,1.861607,4
137,20,31mix,27C,s,13,20_13,0,0.704935,3
138,20,31mix,27C,s,14,20_14,0,2.281996,6
139,20,31mix,27C,s,14a,20_14a,0,0.728781,1
140,20,31mix,27C,s,14b,20_14b,0,1.562861,3
141,20,31mix,27C,s,15,20_15,0,1.788193,4
142,20,31mix,27C,s,16,20_16,0,1.149706,3
144,20,31mix,27C,s,24,20_24,0,1.125592,3
145,20,31mix,27C,s,25,20_25,0,1.284209,5
147,20,31mix,27C,s,27,20_27,0,1.619931,3
148,20,31mix,27C,s,28,20_28,0,2.148029,4
149,20,31mix,27C,s,29,20_29,0,1.5007,5
150,20,31mix,27C,s,30,20_30,0,1.55777,3
151,20,31mix,27C,s,38,20_38,0,1.130951,1
152,20,31mix,27C,s,39,20_39,0,1.585903,3
153,20,31mix,27C,s,40,20_40,0,0.981711,1
154,20,31mix,27C,s,41,20_41,0,1.94172,4
155,20,31mix,27C,s,42,20_42,0,2.069256,4
156,20,31mix,27C,s,43,20_43,0,3.458228,5
157,20,31mix,27C,s,44,20_44,0,1.666551,3
158,20,31mix,27C,s,45,20_45,0,1.213474,3
159,20,31mix,27C,s,46,20_46,0,0.905886,1
160,20,31mix,27C,s,47,20_47,0,1.173552,4
161,20,31mix,27C,s,48,20_48,0,2.478392,4
162,20,31mix,27C,s,49,20_49,0,1.762204,3
164,20,31mix,27C,s,51,20_51,0,1.970389,4
165,20,31mix,27C,s,52,20_52,0,1.39433,3
168,20,31mix,27C,s,65,20_65,0,2.164641,5
169,20,31mix,27C,s,66,20_66,0,1.618323,2
170,20,31mix,27C,s,67,20_67,0,1.506862,3
171,20,31mix,27C,s,68,20_68,0,1.906084,4
172,20,31mix,27C,s,69,20_69,0,1.393526,4
174,20,31mix,27C,s,71,20_71,0,0.995108,1
175,20,31mix,27C,s,72,20_72,0,0.376984,1
176,20,31mix,27C,s,10,20_10,0,0.961348,3
177,20,31mix,27C,s,17,20_17,0,2.508936,7
178,20,31mix,27C,s,18,20_18,0,1.93261,3
179,20,31mix,27C,s,19,20_19,0,1.276171,3
180,20,31mix,27C,s,20,20_20,0,0.830596,2
181,20,31mix,27C,s,21,20_21,0,0.753699,1
182,20,31mix,27C,s,22,20_22,0,0.683768,2
183,20,31mix,27C,s,31,20_31,0,2.116145,5
184,20,31mix,27C,s,32,20_32,0,1.448453,3
186,20,31mix,27C,s,34,20_34,0,1.169533,4
188,20,31mix,27C,s,36,20_36,0,1.147027,3
189,20,31mix,27C,s,37,20_37,0,0.862212,3
190,20,31mix,27C,s,53,20_53,0,2.443561,5
194,20,31mix,27C,s,57,20_57,0,2.11025,3
195,20,31mix,27C,s,58,20_58,0,1.238124,2
196,20,31mix,27C,s,59,20_59,0,1.217761,3
197,20,31mix,27C,s,60,20_60,0,1.485963,3
198,20,31mix,27C,s,61,20_61,0,0.988945,2
200,20,31mix,27C,s,73,20_73,0,0.883111,2
201,20,31mix,27C,s,75,20_75,0,0.963224,2
202,20,31mix,27C,s,76,20_76,0,0.928928,3
203,20,31mix,27C,s,77,20_77,0,1.939911,3
204,20,31mix,27C,s,78,20_78,0,1.084972,2
205,20,31mix,27C,s,79,20_79,0,1.766857,4
206,20,31mix,27C,s,80,20_80,0,0.804321,2
207,20,31mix,27C,s,81,20_81,0,0.680029,2
208,20,31mix,27C,s,82,20_82,0,0.829233,1
210,20,31mix,27C,s,84,20_84,0,0.941334,2
211,20,31mix,27C,s,85,20_85,0,0.705471,1
212,20,31mix,27C,s,86,20_86,0,1.976484,4
213,20,31mix,27C,s,87,20_87,0,1.482495,4
214,20,31mix,27C,s,97,20_97,0,1.408821,4
215,20,31mix,27C,s,98,20_98,0,1.093718,1
217,20,31mix,27C,s,101,20_101,0,1.318981,3
218,20,31mix,27C,s,102,20_102,0,1.078877,4
219,20,31mix,27C,s,103,20_103,0,0.704145,3
220,20,31mix,27C,s,104,20_104,0,0.773049,2
221,20,31mix,27C,s,105,20_105,0,0.863685,2
222,20,31mix,27C,s,106,20_106,0,1.665356,4
223,20,31mix,27C,s,107,20_107,0,1.134795,2
224,20,31mix,27C,s,117,20_117,0,1.895654,5
225,20,31mix,27C,s,119,20_119,0,0.60874,1
226,20,31mix,27C,s,120,20_120,0,0.338424,1
227,20,31mix,27C,s,121,20_121,0,1.405111,3
228,20,31mix,27C,s,122,20_122,0,1.111209,3
229,20,31mix,27C,s,123,20_123,0,0.949815,2
230,20,31mix,27C,s,124,20_124,0,1.282409,3
231,20,31mix,27C,s,125,20_125,0,1.603342,3
232,20,31mix,27C,s,118,20_118,0,0.476232,1
233,20,31mix,27C,s,88,20_88,0,1.276078,3
234,20,31mix,27C,s,89,20_89,0,0.888225,2
235,20,31mix,27C,s,90,20_90,0,0.679604,1
236,20,31mix,27C,s,91,20_91,0,0.843218,2
238,20,31mix,27C,s,93,20_93,0,2.068465,1
239,20,31mix,27C,s,94,20_94,0,0.692312,2
240,20,31mix,27C,s,96,20_96,0,1.092344,2
241,20,31mix,27C,s,108,20_108,0,1.389655,3
242,20,31mix,27C,s,109,20_109,0,1.36265,3
243,20,31mix,27C,s,110,20_110,0,1.003654,2
244,20,31mix,27C,s,111,20_111,0,0.609447,1
245,20,31mix,27C,s,112,20_112,0,1.248015,3
246,20,31mix,27C,s,113,20_113,0,2.829082,10
247,20,31mix,27C,s,114,20_114,0,0.872869,1
249,20,31mix,27C,s,116,20_116,0,0.818332,3
250,35,31mix,27C,s,1,35_1,0,0.922171,2
252,35,31mix,27C,s,3,35_3,0,1.451458,4
253,35,31mix,27C,s,4,35_4,0,1.268182,5
254,35,31mix,27C,s,5,35_5,0,1.90833,4
255,35,31mix,27C,s,6,35_6,0,0.535607,1
256,35,31mix,27C,s,7,35_7,0,0.983526,2
257,35,31mix,27C,s,8,35_8,0,0.93244,2
258,35,31mix,27C,s,9,35_9,0,0.80815,1
259,35,31mix,27C,s,10,35_10,0,1.828542,4
262,35,31mix,27C,s,13,35_13,0,2.523725,4
263,35,31mix,27C,s,14,35_14,0,0.713616,2
264,35,31mix,27C,s,15,35_15,0,1.548625,3
266,35,31mix,27C,s,23,35_23,0,1.077007,3
267,35,31mix,27C,s,24,35_24,0,1.058311,2
268,35,31mix,27C,s,25,35_25,0,1.438818,3
269,35,31mix,27C,s,26,35_26,0,1.155742,2
270,35,31mix,27C,s,27,35_27,0,0.759698,2
271,35,31mix,27C,s,28,35_28,0,1.081483,1
272,35,31mix,27C,s,29,35_29,0,2.670134,5
273,35,31mix,27C,s,30,35_30,0,1.266339,3
274,35,31mix,27C,s,31,35_31,0,1.240006,4
275,35,31mix,27C,s,32,35_32,0,0.847912,2
276,35,31mix,27C,s,33,35_33,0,1.228946,4
278,35,31mix,27C,s,42,35_42,0,0.898208,2
279,35,31mix,27C,s,43,35_43,0,1.349287,3
280,35,31mix,27C,s,44,35_44,0,0.856602,2
281,35,31mix,27C,s,45,35_45,0,0.26122,1
282,35,31mix,27C,s,46,35_46,0,1.342967,3
283,35,31mix,27C,s,47,35_47,0,1.228683,2
284,35,31mix,27C,s,48,35_48,0,0.539293,2
285,35,31mix,27C,s,49,35_49,0,0.747848,2
288,35,31mix,27C,s,51,35_51,0,0.959563,1
290,35,31mix,27C,s,53,35_53,0,1.09702,2
291,35,31mix,27C,s,71,35_71,0,1.217097,3
292,35,31mix,27C,s,72,35_72,0,0.589589,2
293,35,31mix,27C,s,73,35_73,0,1.61314,3
294,35,31mix,27C,s,74,35_74,0,1.134939,2
296,35,31mix,27C,s,76,35_76,0,0.917957,4
297,35,31mix,27C,s,77,35_77,0,1.981798,4
298,35,31mix,27C,s,78,35_78,0,1.645003,4
299,35,31mix,27C,s,79,35_79,0,1.275029,5
300,35,31mix,27C,s,80,35_80,0,1.036981,3
301,35,31mix,27C,s,81,35_81,0,0.899525,2
302,35,31mix,27C,s,82,35_82,0,1.151265,2
303,35,31mix,27C,s,83,35_83,0,1.10413,2
304,35,31mix,27C,s,84,35_84,0,1.137045,4
305,35,31mix,27C,s,85,35_85,0,1.522029,3
306,35,31mix,27C,s,86,35_86,0,1.991014,4
307,35,31mix,27C,s,87,35_87,0,1.320058,4
308,35,31mix,27C,s,88,35_88,0,0.93481,2
309,35,31mix,27C,s,17,35_17,0,2.021034,5
310,35,31mix,27C,s,18,35_18,0,0.872929,2
311,35,31mix,27C,s,19,35_19,0,1.182338,3
312,35,31mix,27C,s,20,35_20,0,1.098336,3
313,35,31mix,27C,s,21,35_21,0,5.000577,8
315,35,31mix,27C,s,35,35_35,0,0.986686,2
316,35,31mix,27C,s,36,35_36,0,1.047778,3
317,35,31mix,27C,s,37,35_37,0,0.947713,3
318,35,31mix,27C,s,38,35_38,0,0.960353,3
319,35,31mix,27C,s,39,35_39,0,1.122826,3
320,35,31mix,27C,s,40,35_40,0,1.010648,3
321,35,31mix,27C,s,41,35_41,0,1.204984,3
324,35,31mix,27C,s,56,35_56,0,1.164431,3
326,35,31mix,27C,s,58,35_58,0,3.002453,8
328,35,31mix,27C,s,60,35_60,0,0.681753,2
330,35,31mix,27C,s,62,35_62,0,1.20788,3
331,35,31mix,27C,s,63,35_63,0,2.18693,5
332,35,31mix,27C,s,64,35_64,0,1.222363,3
333,35,31mix,27C,s,65,35_65,0,0.342062,1
334,35,31mix,27C,s,66,35_66,0,2.353615,5
335,35,31mix,27C,s,67,35_67,0,0.385774,1
336,35,31mix,27C,s,68,35_68,0,0.958246,3
337,35,31mix,27C,s,69,35_69,0,1.115716,3
338,35,31mix,27C,s,70,35_70,0,0.945343,3
339,35,31mix,27C,s,89,35_89,0,0.693603,2
340,35,31mix,27C,s,90,35_90,0,2.298053,5
341,35,31mix,27C,s,91,35_91,0,1.026448,3
343,35,31mix,27C,s,94,35_94,0,1.538619,4
345,35,31mix,27C,s,96,35_96,0,2.054213,4
346,35,31mix,27C,s,97,35_97,0,1.088067,2
349,35,31mix,27C,s,100,35_100,0,0.973783,3
351,35,31mix,27C,s,102,35_102,0,1.827488,4
352,35,31mix,27C,s,103,35_103,0,3.308439,6
353,35,31mix,27C,s,112,35_112,0,0.804464,1
355,35,31mix,27C,s,114,35_114,0,0.602492,1
356,35,31mix,27C,s,115,35_115,0,1.107553,3
357,35,31mix,27C,s,116,35_116,0,1.274239,3
359,35,31mix,27C,s,124,35_124,0,1.189447,4
360,35,31mix,27C,s,125,35_125,0,0.711246,3
361,35,31mix,27C,s,126,35_126,0,0.778921,4
362,35,31mix,27C,s,104,35_104,0,1.634996,3
363,35,31mix,27C,s,105,35_105,0,0.922961,2
364,35,31mix,27C,s,106,35_106,0,1.163378,3
365,35,31mix,27C,s,107,35_107,0,1.856191,4
366,35,31mix,27C,s,108,35_108,0,0.761805,2
367,35,31mix,27C,s,109,35_109,0,1.204984,3
368,35,31mix,27C,s,110,35_110,0,0.754958,3
369,35,31mix,27C,s,111,35_111,0,0.997745,3
370,35,31mix,27C,s,118,35_118,0,0.465299,1
371,35,31mix,27C,s,119,35_119,0,1.76034,5
373,35,31mix,27C,s,121,35_121,0,0.787084,1
374,35,31mix,27C,s,122,35_122,0,0.55562,1
375,35,31mix,27C,s,123,35_123,0,0.657264,2
376,3,Wtmix,27C,s,26,3_26,0,1.929857,3
378,3,Wtmix,27C,s,28,3_28,0,2.347799,5
380,3,Wtmix,27C,s,30,3_30,0,1.964035,3
381,3,Wtmix,27C,s,31,3_31,0,1.294196,2
382,3,Wtmix,27C,s,41,3_41,0,1.156676,2
384,3,Wtmix,27C,s,40,3_40,0,1.89514,4
385,3,Wtmix,27C,s,42,3_42,0,2.168835,4
386,3,Wtmix,27C,s,43,3_43,0,1.06975,1
387,3,Wtmix,27C,s,44,3_44,0,3.889047,4
388,3,Wtmix,27C,s,45,3_45,0,2.335958,4
389,3,Wtmix,27C,s,46,3_46,0,7.190068,4
390,3,Wtmix,27C,s,47,3_47,0,2.175294,3
391,3,Wtmix,27C,s,55,3_55,0,1.156676,2
392,3,Wtmix,27C,s,53,3_53,0,1.704603,3
393,3,Wtmix,27C,s,54,3_54,0,2.130081,5
394,3,Wtmix,27C,s,56,3_56,0,1.12788,2
395,3,Wtmix,27C,s,57,3_57,0,0.954029,2
396,3,Wtmix,27C,s,58,3_58,0,1.269168,3
397,3,Wtmix,27C,s,58a,3_58a,0,0.606865,2
398,3,Wtmix,27C,s,59,3_59,0,1.896486,4
399,3,Wtmix,27C,s,60,3_60,0,2.113127,4
400,3,Wtmix,27C,s,61,3_61,0,2.189557,3
401,3,Wtmix,27C,s,62,3_62,0,2.056343,3
403,3,Wtmix,27C,s,64,3_64,0,1.318148,2
404,3,Wtmix,27C,s,65,3_65,0,1.306306,3
405,3,Wtmix,27C,s,66,3_66,0,2.471325,3
406,3,Wtmix,27C,s,1,3_1,0,1.820863,4
407,3,Wtmix,27C,s,2,3_2,0,1.531829,3
410,3,Wtmix,27C,s,5,3_5,0,1.318955,4
411,3,Wtmix,27C,s,86,3_86,0,1.068405,1
412,3,Wtmix,27C,s,6,3_6,0,1.707295,5
413,3,Wtmix,27C,s,7,3_7,0,2.345646,3
414,3,Wtmix,27C,s,8,3_8,0,2.025663,4
416,3,Wtmix,27C,s,10,3_10,0,1.446787,3
417,3,Wtmix,27C,s,11,3_11,0,1.398076,3
418,3,Wtmix,27C,s,12,3_12,0,1.165019,3
419,3,Wtmix,27C,s,13,3_13,0,2.443337,4
421,3,Wtmix,27C,s,25,3_25,0,1.619023,4
422,3,Wtmix,27C,s,18,3_18,0,1.5642,3
423,3,Wtmix,27C,s,17,3_17,0,2.421858,5
426,3,Wtmix,27C,s,15,3_15,0,3.363111,5
428,3,Wtmix,27C,s,20,3_20,0,3.320777,5
429,3,Wtmix,27C,s,21,3_21,0,4.121901,4
430,3,Wtmix,27C,s,22,3_22,0,1.993967,3
431,3,Wtmix,27C,s,23,3_23,0,1.194451,3
432,3,Wtmix,27C,s,32,3_32,0,2.001469,3
433,3,Wtmix,27C,s,33,3_33,0,1.748807,3
434,3,Wtmix,27C,s,34,3_34,0,1.800786,4
436,3,Wtmix,27C,s,35,3_35,0,2.422662,3
437,3,Wtmix,27C,s,36,3_36,0,2.653889,5
438,3,Wtmix,27C,s,38,3_38,0,1.211867,2
439,3,Wtmix,27C,s,48,3_48,0,1.544909,3
440,3,Wtmix,27C,s,49,3_49,0,1.847139,3
441,3,Wtmix,27C,s,50,3_50,0,1.447649,3
442,3,Wtmix,27C,s,51,3_51,0,1.50713,4
443,3,Wtmix,27C,s,52,3_52,0,1.538479,4
444,3,Wtmix,27C,s,67,3_67,0,1.780423,3
445,3,Wtmix,27C,s,70,3_70,0,3.00649,5
446,3,Wtmix,27C,s,69,3_69,0,1.990484,2
447,3,Wtmix,27C,s,68,3_68,0,2.277977,4
448,3,Wtmix,27C,s,71,3_71,0,1.078435,2
449,3,Wtmix,27C,s,72,3_72,0,1.004218,3
451,3,Wtmix,27C,s,74,3_74,0,1.007969,1
453,3,Wtmix,27C,s,76,3_76,0,1.806145,3
454,3,Wtmix,27C,s,77,3_77,0,2.096854,3
455,3,Wtmix,27C,s,78,3_78,0,1.983517,4
456,3,Wtmix,27C,s,82,3_82,0,2.662999,5
457,3,Wtmix,27C,s,83,3_83,0,2.052376,5
458,3,Wtmix,27C,s,83a,3_83a,0,0.572308,1
459,3,Wtmix,27C,s,84,3_84,0,1.938504,3
461,3,Wtmix,27C,s,79,3_79,0,1.11675,3
462,3,Wtmix,27C,s,80,3_80,0,0.93911,2
463,3,Wtmix,27C,s,81,3_81,0,1.332973,3
464,16,Wtmix,27C,s,1,16_1,0,3.376776,6
465,16,Wtmix,27C,s,2,16_2,0,3.948011,5
466,16,Wtmix,27C,s,3,16_3,0,0.930536,1
468,16,Wtmix,27C,s,5,16_5,0,2.017545,4
469,16,Wtmix,27C,s,6,16_6,0,2.389706,3
471,16,Wtmix,27C,s,23,16_23,0,1.456491,2
472,16,Wtmix,27C,s,24,16_24,0,1.67325,4
473,16,Wtmix,27C,s,25,16_25,0,2.18554,5
474,16,Wtmix,27C,s,26,16_26,0,2.56949,5
476,16,Wtmix,27C,s,28,16_28,0,2.284943,5
479,16,Wtmix,27C,s,31,16_31,0,2.534658,4
